V1	V2	V3	V4	V5	V6
pretreatment	0.015576	0.782869	0.036009	-0.041808	0.10149	0.516118
untreated_d21	-0.027736	0.878843	-0.131646	-0.119283	0.151966	-0.026811
INH_wk1	0.860225	-0.083947	0.013514	-0.063888	-0.075576	-0.11326
RIF_wk1	-0.035589	-0.009305	-0.017485	0.951767	-0.059602	-0.084244
EMB_wk1	-0.096615	-0.242586	-0.188835	-0.088022	-0.904001	-0.035615
PZA_wk1	0.018215	-0.041101	0.924763	-0.008206	0.162384	-0.03717
HRZE_wk1	-0.28762	-0.086548	0.86917	0.016708	0.099723	0.183248
untreated_wk2	-0.442761	0.824104	0.000228	-0.027036	0.097401	0.090883
INH_wk2	0.909664	0.174193	-0.106673	-0.040039	0.135533	0.020102
RIF_wk2	-0.066408	-0.141175	0.016503	0.916353	0.089649	0.18527
EMB_wk2	0.081361	-0.044631	-0.113231	0.071059	-0.86614	-0.365174
untreated_wk5	-0.738214	0.235517	0.366656	-0.11266	0.127989	0.009942
INH_wk5	0.791882	-0.327259	0.000322	-0.118376	0.08075	0.152648
EMB_wk5	-0.019486	-0.18842	-0.103344	-0.109961	-0.310995	-0.855325
