# command: python projection_resampling_Abx.py multiTnSeq_Abx_3b_counts_TTR.txt Abx_3b_samples_metadata_all.txt H37Rv3.prot_table multiTnSeq_Abx_3b_varimax_loadings.txt michelles_list.txt
ORF	gene	numTAs	pretreatment	untreated_d21	INH_wk1	RIF_wk1	EMB_wk1	PZA_wk1	HRZE_wk1	untreated_wk2	INH_wk2	RIF_wk2	EMB_wk2	untreated_wk5	INH_wk5	EMB_wk5	V1_mean	V2_mean	V3_mean	V4_mean	V5_mean	V6_mean	V1_LFC	V2_LFC	V3_LFC	V4_LFC	V5_LFC	V6_LFC	V1_padj	V2_padj	V3_padj	V4_padj	V5_padj	V6_padj
Rv0079	-	14	193.3	167.6	140.4	237.7	138.0	222.2	237.8	207.2	169.1	702.8	149.1	232.5	135.2	158.9	171.5	189.3	226.1	449.4	150.5	182.3	-0.3	-0.1	0.1	1.1	-0.5	-0.2	0.824464	0.914411	1.0	0.08773	0.603529	0.934075
Rv0096	PPE1	34	51.7	36.3	87.0	21.8	38.1	31.5	33.4	17.9	168.2	34.1	39.0	11.0	432.6	29.2	160.4	53.9	31.9	31.1	40.5	43.3	1.7	0.1	-0.6	-0.6	-0.3	-0.2	0.0	0.951814	0.342	0.315692	0.603529	0.568338
Rv0097	-	26	29.8	13.8	86.0	15.8	36.4	16.4	23.1	15.5	116.1	16.9	27.7	0.7	239.2	13.8	103.8	30.3	19.0	18.3	32.0	24.0	1.7	-0.0	-0.7	-0.7	0.0	-0.4	0.0	0.900564	0.4275	0.440343	0.920382	0.535031
Rv0098	fcoT	12	22.9	26.5	69.8	8.4	27.8	36.1	4.8	5.0	108.5	12.0	23.8	0.8	193.0	6.4	87.0	27.0	20.5	11.9	26.0	16.1	1.7	0.0	-0.4	-1.1	-0.0	-0.7	0.0	0.970366	0.755337	0.391361	0.947077	0.514716
Rv0099	fadD10	32	11.6	15.8	31.1	4.6	13.0	7.1	8.7	3.6	38.9	6.2	10.1	1.9	95.0	8.0	38.6	14.5	7.8	6.3	11.9	10.8	1.5	0.1	-0.7	-1.0	-0.1	-0.3	0.0	0.997053	0.431217	0.309205	0.838643	0.650634
Rv0101	nrp	123	42.3	38.2	70.8	27.1	34.9	30.1	32.1	20.2	133.3	50.4	32.3	6.7	229.0	18.9	104.4	43.0	30.0	39.5	34.5	31.1	1.3	0.1	-0.4	-0.1	-0.3	-0.4	0.0	0.824464	0.088149	0.582955	0.267985	0.114
Rv0111	-	43	81.4	68.9	51.6	45.9	47.1	67.5	28.9	49.1	47.8	44.6	39.1	43.3	38.1	28.5	45.5	62.7	48.9	45.3	43.4	42.1	-0.1	0.4	0.1	-0.1	-0.1	-0.2	0.959763	0.404182	0.997053	0.970366	0.955053	0.846186
Rv0177	-	12	79.4	56.7	116.7	93.6	140.6	135.0	135.9	67.2	142.6	80.5	94.9	47.0	160.5	234.1	117.6	76.4	128.6	88.7	123.5	174.8	-0.1	-0.7	0.0	-0.5	-0.0	0.5	1.0	0.636476	0.974762	0.762289	0.988505	0.440343
Rv0180c	-	29	0.4	0.4	4.7	0.8	0.0	2.5	0.4	1.8	1.0	0.3	1.7	2.8	0.0	0.2	2.0	0.8	1.6	0.6	0.8	0.5	0.5	-0.3	0.2	-0.5	-0.3	-0.6	0.473538	0.979364	0.900564	0.967674	0.979364	0.762975
Rv0216	-	24	13.6	7.0	13.0	3.7	6.1	3.7	3.5	4.9	12.8	7.2	7.7	7.2	20.2	0.2	12.6	8.6	4.0	5.5	6.6	4.7	0.7	0.2	-0.8	-0.4	-0.2	-0.6	0.142218	0.838643	0.524473	0.911302	0.979364	0.650634
Rv0244c	fadE5	23	0.7	0.9	0.5	0.8	4.3	1.1	1.3	2.7	1.0	0.8	1.8	0.8	0.7	21.1	0.9	1.7	1.4	1.0	3.9	12.8	-1.0	-0.5	-0.7	-1.0	0.4	1.8	0.355838	0.593554	0.514716	0.3888	0.979364	0.0
Rv0248c	-	39	3.3	1.4	3.5	8.8	5.2	2.5	4.0	2.3	5.0	12.0	7.7	3.7	10.0	4.7	5.3	2.9	3.3	10.1	6.1	5.0	-0.1	-0.8	-0.6	0.7	0.1	-0.2	0.988505	0.342	0.473538	0.027527	0.918806	0.967674
